,All
51->52,0.41379310344827586
52->53,0.35
53->54,0.0
54->55,0.0
55->56,0.1
56->57,0.0
57->58,0.0
58->59,0.0
59->60,0.16129032258064516
60->61,0.25
61->62,0.2857142857142857
62->63,0.11538461538461539
63->64,0.08333333333333333
64->65,0.03571428571428571
65->66,0.0
66->67,0.5357142857142857
67->68,0.14285714285714285
68->69,0.13636363636363635
69->70,0.65
70->71,0.7647058823529411
71->72,0.27586206896551724
72->73,1.0
73->74,0.5714285714285714
74->75,0.14285714285714285
75->76,0.4146341463414634
76->77,0.07692307692307693
77->78,0.0
78->79,0.0
79->80,0.2222222222222222
80->81,0.2857142857142857
81->82,0.16666666666666666
82->83,0.0
83->84,0.15384615384615385
84->85,0.35
85->86,0.2
86->87,0.4444444444444444
87->88,0.36363636363636365
88->89,0.0
89->90,0.6
90->91,0.2222222222222222
91->92,0.25
92->93,0.2857142857142857
93->94,0.14285714285714285
94->95,0.0
95->96,0.08695652173913043
96->97,0.0967741935483871
97->98,0.0
98->99,0.42105263157894735
99->100,0.09523809523809523
100->101,0.0
