,All
51->52,0.0
52->53,0.12246141124446391
53->54,0.0421283924467523
54->55,0.06261322084327346
55->56,0.0
56->57,0.0
57->58,0.20565887768736588
58->59,0.09749092204231152
59->60,0.0
60->61,0.0
61->62,0.0
62->63,0.06569402706232945
63->64,-1.0
64->65,0.0
65->66,0.0
66->67,0.0
67->68,0.0
68->69,-1.0
69->70,0.10304689730485962
70->71,0.0
71->72,0.0
72->73,0.0
73->74,0.0
74->75,0.07897949406797962
75->76,0.014568593492552484
76->77,0.0
77->78,0.031450809460012545
78->79,0.28409390701262305
79->80,0.0
80->81,0.0
81->82,-1.0
82->83,0.02924574670485315
83->84,0.06503918603521633
84->85,0.057611675750961766
85->86,0.03383563751720593
86->87,0.028770256307840372
87->88,0.3483163552565613
88->89,0.0
89->90,0.0
90->91,0.0
91->92,0.17914761367574367
92->93,0.0
93->94,0.03334622189958529
94->95,0.0
95->96,0.0
96->97,0.17877276584378166
97->98,0.028805837875480883
98->99,0.0
99->100,0.0
100->101,0.0
