,All
51->52,0.029354859493303395
52->53,0.04352633368602843
53->54,0.06344666321883978
54->55,0.13245396341451074
55->56,0.0
56->57,0.0
57->58,0.10744056016186737
58->59,0.0758414499755135
59->60,0.014774023995642552
60->61,0.0
61->62,0.0
62->63,0.013958370111874474
63->64,-1.0
64->65,0.0
65->66,0.0
66->67,0.022412065205540687
67->68,0.030765725856485814
68->69,-1.0
69->70,0.0
70->71,0.0
71->72,0.0
72->73,0.0
73->74,0.0
74->75,0.0
75->76,0.0
76->77,0.0
77->78,0.06147576935155936
78->79,0.11827489098392428
79->80,0.013882457939690169
80->81,0.0
81->82,-1.0
82->83,0.028000280403445668
83->84,0.045281647146633616
84->85,0.014568593492552484
85->86,0.014378420432648436
86->87,0.038323109659131
87->88,0.043731455784351385
88->89,0.0
89->90,0.0
90->91,0.01630596033570318
91->92,0.13454831819728574
92->93,0.06553167883758407
93->94,0.06716984193761893
94->95,0.017939448623110175
95->96,0.0
96->97,0.02162728536084035
97->98,0.029171604176661974
98->99,0.06369190500275208
99->100,0.0
100->101,0.0
