,All
51->52,0.0013003901170351106
52->53,0.044444444444444446
53->54,0.0
54->55,0.08333333333333333
55->56,0.0
56->57,0.0
57->58,0.0034482758620689655
58->59,0.14285714285714285
59->60,0.0625
60->61,0.0
61->62,0.0
62->63,0.038461538461538464
63->64,0.0
64->65,0.25
65->66,0.09090909090909091
66->67,0.0
67->68,0.18181818181818182
68->69,0.1
69->70,0.0
70->71,0.0
71->72,0.0
72->73,0.0
73->74,0.08333333333333333
74->75,0.0
75->76,0.08333333333333333
76->77,0.08
77->78,0.0
78->79,0.07692307692307693
79->80,0.3333333333333333
80->81,0.058823529411764705
81->82,0.0
82->83,0.16666666666666666
83->84,0.13333333333333333
84->85,0.04918032786885246
85->86,0.0
86->87,0.16666666666666666
87->88,0.0
88->89,0.2
89->90,0.15384615384615385
90->91,0.09090909090909091
91->92,0.022727272727272728
92->93,0.0
93->94,0.041666666666666664
94->95,0.0
95->96,0.06666666666666667
96->97,0.0
97->98,0.2
98->99,0.019230769230769232
99->100,0.0
100->101,0.0
