,All
51->52,0.010416666666666666
52->53,0.035398230088495575
53->54,0.0
54->55,0.017241379310344827
55->56,0.0
56->57,0.0
57->58,0.009708737864077669
58->59,0.010309278350515464
59->60,0.008928571428571428
60->61,0.0
61->62,0.0
62->63,0.01639344262295082
63->64,0.0
64->65,0.013888888888888888
65->66,0.029411764705882353
66->67,0.0
67->68,0.0273972602739726
68->69,0.014925373134328358
69->70,0.0
70->71,0.0
71->72,0.0
72->73,0.0
73->74,0.013333333333333334
74->75,0.0
75->76,0.015625
76->77,0.029850746268656716
77->78,0.0
78->79,0.047619047619047616
79->80,0.02
80->81,0.02247191011235955
81->82,0.0
82->83,0.012987012987012988
83->84,0.020202020202020204
84->85,0.03225806451612903
85->86,0.0
86->87,0.020202020202020204
87->88,0.0
88->89,0.014084507042253521
89->90,0.03333333333333333
90->91,0.015625
91->92,0.00909090909090909
92->93,0.0
93->94,0.008771929824561403
94->95,0.0
95->96,0.011764705882352941
96->97,0.0
97->98,0.015151515151515152
98->99,0.028169014084507043
99->100,0.0
100->101,0.0
