,All
51->52,0.2
52->53,0.2
53->54,0.2
54->55,0.0
55->56,0.0
56->57,0.0
57->58,0.0
58->59,0.2
59->60,0.1
60->61,0.7
61->62,0.4
62->63,0.2
63->64,0.0
64->65,0.2
65->66,0.0
66->67,0.0
67->68,0.8
68->69,0.2
69->70,0.0
70->71,0.0
71->72,0.0
72->73,0.0
73->74,0.4
74->75,0.0
75->76,0.0
76->77,0.2
77->78,0.0
78->79,0.0
79->80,0.4
80->81,0.0
81->82,0.2
82->83,0.2
83->84,0.6
84->85,0.0
85->86,0.2
86->87,0.0
87->88,0.0
88->89,0.2
89->90,0.0
90->91,0.4
91->92,0.0
92->93,0.0
93->94,0.2
94->95,0.4
95->96,0.0
96->97,0.0
97->98,0.0
98->99,0.0
99->100,0.0
100->101,0.4
