,All
51->52,0.0
52->53,0.03233829114831982
53->54,0.2852123952155604
54->55,0.0
55->56,0.04105877938688905
56->57,0.07512175164287155
57->58,0.0
58->59,0.2771368076701525
59->60,0.05059568297461705
60->61,0.0
61->62,0.3950134890850993
62->63,0.06117331537803186
63->64,0.04734667987788577
64->65,0.0
65->66,0.0
66->67,0.0
67->68,0.10079438243384745
68->69,0.06117331537803186
69->70,0.067500463640696
70->71,0.0
71->72,0.0
72->73,0.0
73->74,0.0
74->75,0.0
75->76,0.1383202501280234
76->77,0.11612190345001772
77->78,0.21146023785283172
78->79,0.07244761042136541
79->80,0.3215134831742003
80->81,0.0
81->82,0.0
82->83,0.11581687095556066
83->84,0.12863262738378398
84->85,0.21552355103944493
85->86,0.2696750440239626
86->87,0.15499089718825007
87->88,0.0
88->89,0.24830208073644314
89->90,0.0
90->91,0.29536867849124665
91->92,0.0
92->93,0.2287963078025738
93->94,0.0837029678664246
94->95,0.16361417809693152
95->96,0.36630920875484035
96->97,0.21945510700908516
97->98,0.11612190345001772
98->99,0.035510009908414325
99->100,0.2674308580489459
100->101,0.3191321267478052
