,All
51->52,0.0
52->53,0.0
53->54,0.10312515317485989
54->55,0.08465865523059957
55->56,0.0
56->57,0.0
57->58,0.0
58->59,0.21786467287722633
59->60,0.03635628798853883
60->61,0.0
61->62,0.07692781742226024
62->63,0.1863820860573006
63->64,0.0
64->65,0.0
65->66,0.10554427104660292
66->67,0.0
67->68,0.3401773220929184
68->69,0.03233829114831982
69->70,0.0
70->71,0.032864970567577
71->72,0.16063730702017207
72->73,0.0
73->74,0.10554427104660292
74->75,0.0
75->76,0.0
76->77,0.17342027002864105
77->78,0.0
78->79,0.05494858807198587
79->80,0.03406297225598251
80->81,0.0
81->82,0.0
82->83,0.10229526794987162
83->84,0.10393162789306343
84->85,0.10079438243384745
85->86,0.0
86->87,0.11498036453569335
87->88,0.0
88->89,0.23165732683700074
89->90,0.11474281869868715
90->91,0.0669279428235595
91->92,0.0
92->93,0.0
93->94,0.21420074799875316
94->95,0.0
95->96,0.0
96->97,0.0
97->98,0.08586742298856077
98->99,0.0
99->100,0.0
100->101,0.0
