,All
51->52,0.0
52->53,0.03343749138471349
53->54,0.13219333519486048
54->55,0.07474092615392172
55->56,0.23165732683700074
56->57,0.3238126503165582
57->58,0.0
58->59,0.0
59->60,0.0
60->61,0.0
61->62,0.2838620787710424
62->63,0.0
63->64,0.0
64->65,0.1471880000295431
65->66,0.0
66->67,0.07692781742226024
67->68,0.13219333519486048
68->69,0.0
69->70,0.0
70->71,0.0
71->72,0.21163675274713242
72->73,0.0
73->74,0.15130971544922509
74->75,0.23165732683700074
75->76,0.0
76->77,0.0
77->78,0.0
78->79,0.0
79->80,0.14247618330983453
80->81,0.0
81->82,0.0
82->83,0.0
83->84,0.06640126340430233
84->85,0.30966303205819923
85->86,0.0
86->87,0.0
87->88,0.0
88->89,0.10554427104660292
89->90,0.23499899330646445
90->91,0.07281676027485896
91->92,0.067500463640696
92->93,0.0
93->94,0.10229526794987162
94->95,0.0
95->96,0.06881314495485108
96->97,0.03233829114831982
97->98,0.0
98->99,0.23165732683700074
99->100,0.1402129701779605
100->101,0.23165732683700074
