,All
51->52,0.0
52->53,0.07474092615392172
53->54,0.23165732683700074
54->55,0.07474092615392172
55->56,0.0702601826072829
56->57,0.210199040416059
57->58,0.0
58->59,0.0
59->60,0.0
60->61,0.0
61->62,0.2539781206026766
62->63,0.07656878929530338
63->64,0.0
64->65,0.14247618330983453
65->66,0.0
66->67,0.0
67->68,0.21306005945048592
68->69,0.0
69->70,0.0
70->71,0.0
71->72,0.09540432657628876
72->73,0.0
73->74,0.0
74->75,0.23165732683700074
75->76,0.0
76->77,0.0
77->78,0.0
78->79,0.0
79->80,0.13886630007088027
80->81,0.0
81->82,0.0
82->83,0.0
83->84,0.07569138853182752
84->85,0.3238126503165582
85->86,0.0
86->87,0.0
87->88,0.0
88->89,0.08381709190192062
89->90,0.10554427104660292
90->91,0.07569138853182752
91->92,0.0
92->93,0.0
93->94,0.11612190345001772
94->95,0.0
95->96,0.06957298216439682
96->97,0.032864970567577
97->98,0.0
98->99,0.23165732683700074
99->100,0.1402129701779605
100->101,0.0702601826072829
