,All
51->52,0.0
52->53,0.0
53->54,0.013882457939690169
54->55,0.027617814335417823
55->56,0.057611675750961766
56->57,0.07215815210208543
57->58,0.0
58->59,0.0
59->60,0.0
60->61,0.029441677225290553
61->62,0.0
62->63,0.0
63->64,0.0
64->65,0.24584385942975506
65->66,0.0
66->67,0.0
67->68,0.014378420432648436
68->69,0.03263038136315784
69->70,0.0
70->71,0.0
71->72,0.0
72->73,0.0
73->74,0.0
74->75,0.04072605875957583
75->76,0.018251960930509403
76->77,0.0
77->78,0.0
78->79,0.07041979781531246
79->80,0.0
80->81,0.029666203508678747
81->82,0.041752525773431956
82->83,0.017386297995236583
83->84,0.0
84->85,0.029404226603919423
85->86,0.0709977746355796
86->87,0.0
87->88,0.0
88->89,0.047680115989150465
89->90,0.030578282237980814
90->91,0.031708406711467775
91->92,0.0
92->93,0.0
93->94,0.0
94->95,0.0
95->96,0.10742367965805544
96->97,0.0
97->98,0.0
98->99,0.0
99->100,0.0
100->101,0.03315856039062051
