,All
51->52,0.0
52->53,0.0
53->54,0.03396351435281852
54->55,0.04374734120541364
55->56,0.017139813218915285
56->57,0.040991719752758095
57->58,0.013668405018453901
58->59,0.02785541683256294
59->60,0.0
60->61,0.0
61->62,0.03388113925695383
62->63,0.029993861415543943
63->64,0.0
64->65,0.031821906562800345
65->66,0.0
66->67,0.027695964480681918
67->68,0.02785541683256294
68->69,0.0
69->70,0.0
70->71,0.0
71->72,0.04233917693205334
72->73,0.0
73->74,0.0322024257004923
74->75,0.017386297995236583
75->76,0.0
76->77,0.0
77->78,0.0
78->79,0.016127997260044876
79->80,0.0
80->81,0.0
81->82,0.0
82->83,0.0
83->84,0.017139813218915285
84->85,0.03007519489475414
85->86,0.0
86->87,0.023339760764339242
87->88,0.0
88->89,0.05706772514158177
89->90,0.0
90->91,0.0
91->92,0.014036776925438001
92->93,0.031341476034203175
93->94,0.03876650350550414
94->95,0.0
95->96,0.01595992390434871
96->97,0.04441556136891854
97->98,0.0
98->99,0.09422883130929893
99->100,0.04403935056638104
100->101,0.03508520974210592
