,All
51->52,0.0
52->53,0.0
53->54,0.0
54->55,0.016127997260044876
55->56,0.16053301031164505
56->57,0.1224614282759763
57->58,0.0
58->59,0.028084120754978056
59->60,0.017939448623110175
60->61,0.0
61->62,0.0
62->63,0.03340512286136246
63->64,0.0
64->65,0.2180234464603182
65->66,0.013882457939690169
66->67,0.0
67->68,0.052992382460037776
68->69,0.016910281599645215
69->70,0.0
70->71,0.0
71->72,0.11092465560758959
72->73,0.0
73->74,0.0
74->75,0.05133109721969148
75->76,0.030236945117774642
76->77,0.0
77->78,0.0
78->79,0.051249129854393484
79->80,0.0
80->81,0.0
81->82,0.058165502783076126
82->83,0.0
83->84,0.0
84->85,0.16480263196816927
85->86,0.04568953100243935
86->87,0.0
87->88,0.0
88->89,0.016494841261717248
89->90,0.08981011109050428
90->91,0.030746615812204323
91->92,0.01511575921135025
92->93,0.02876019010177977
93->94,0.0
94->95,0.0
95->96,0.07822432578374168
96->97,0.0
97->98,0.014288467392569169
98->99,0.014036776925438001
99->100,0.0
100->101,0.0332626544526609
