,All
51->52,0.0
52->53,0.04
53->54,0.04
54->55,0.06
55->56,0.08
56->57,0.08
57->58,0.0
58->59,0.06
59->60,0.04
60->61,0.04
61->62,0.12
62->63,0.04
63->64,0.0
64->65,0.16
65->66,0.0
66->67,0.04
67->68,0.08
68->69,0.0
69->70,0.0
70->71,0.0
71->72,0.04
72->73,0.0
73->74,0.08
74->75,0.1
75->76,0.0
76->77,0.0
77->78,0.0
78->79,0.0
79->80,0.08
80->81,0.0
81->82,0.0
82->83,0.0
83->84,0.08
84->85,0.12
85->86,0.04
86->87,0.0
87->88,0.0
88->89,0.08
89->90,0.16
90->91,0.04
91->92,0.08
92->93,0.08
93->94,0.04
94->95,0.0
95->96,0.04
96->97,0.04
97->98,0.0
98->99,0.04
99->100,0.04
100->101,0.04
