,All
51->52,0.0
52->53,0.0
53->54,0.0
54->55,0.02
55->56,0.08
56->57,0.08
57->58,0.0
58->59,0.04
59->60,0.02
60->61,0.0
61->62,0.0
62->63,0.04
63->64,0.0
64->65,0.24
65->66,0.02
66->67,0.0
67->68,0.06
68->69,0.02
69->70,0.0
70->71,0.0
71->72,0.04
72->73,0.0
73->74,0.0
74->75,0.04
75->76,0.04
76->77,0.0
77->78,0.0
78->79,0.06
79->80,0.0
80->81,0.0
81->82,0.08
82->83,0.0
83->84,0.0
84->85,0.08
85->86,0.04
86->87,0.0
87->88,0.0
88->89,0.02
89->90,0.06
90->91,0.04
91->92,0.02
92->93,0.04
93->94,0.0
94->95,0.0
95->96,0.08
96->97,0.0
97->98,0.02
98->99,0.02
99->100,0.0
100->101,0.04
