,All
51->52,0.05747126436781609
52->53,0.01383367785021466
53->54,0.0510783200908059
54->55,0.008781558726673985
55->56,0.037162162162162164
56->57,0.0343213728549142
57->58,0.0310391363022942
58->59,0.026634382566585957
59->60,0.030852994555353903
60->61,0.038461538461538464
61->62,0.045368620037807186
62->63,0.026634382566585957
63->64,0.0065252854812398045
64->65,0.02857142857142857
65->66,0.01411764705882353
66->67,0.015895953757225433
67->68,0.07024793388429752
68->69,0.01098901098901099
69->70,0.017857142857142856
70->71,0.002183406113537118
71->72,0.018691588785046728
72->73,0.013531799729364006
73->74,0.026239067055393587
74->75,0.0036101083032490976
75->76,0.006082725060827251
76->77,0.01348747591522158
77->78,0.020833333333333332
78->79,0.03424657534246575
79->80,0.021875
80->81,0.018329938900203666
81->82,0.01828410689170183
82->83,0.03745318352059925
83->84,0.031879194630872486
84->85,0.05303030303030303
85->86,0.03225806451612903
86->87,0.05982905982905983
87->88,0.004166666666666667
88->89,0.03389830508474576
89->90,0.010869565217391304
90->91,0.02875399361022364
91->92,0.032948929159802305
92->93,0.021875
93->94,0.02926829268292683
94->95,0.008982035928143712
95->96,0.039603960396039604
96->97,0.01936619718309859
97->98,0.026392961876832845
98->99,0.00945945945945946
99->100,0.016587677725118485
100->101,0.024128686327077747
