,All
51->52,0.06666666666666667
52->53,0.0
53->54,0.0
54->55,0.0
55->56,0.0
56->57,0.0
57->58,0.0
58->59,0.0
59->60,0.0
60->61,0.0
61->62,0.0
62->63,0.0
63->64,0.0
64->65,0.125
65->66,0.0
66->67,0.0
67->68,0.09523809523809523
68->69,0.0
69->70,0.0
70->71,0.0
71->72,0.08333333333333333
72->73,0.034482758620689655
73->74,0.0
74->75,0.0
75->76,0.015151515151515152
76->77,0.038461538461538464
77->78,0.0
78->79,0.14285714285714285
79->80,0.0
80->81,0.0
81->82,0.0
82->83,0.0
83->84,0.0
84->85,0.0
85->86,0.038461538461538464
86->87,0.07142857142857142
87->88,0.0
88->89,0.0625
89->90,0.0
90->91,0.0
91->92,0.01639344262295082
92->93,0.0
93->94,0.0375
94->95,0.0
95->96,0.023809523809523808
96->97,0.03389830508474576
97->98,0.0
98->99,0.0
99->100,0.12
100->101,0.0
