,All
51->52,0.014705882352941176
52->53,0.0
53->54,0.005681818181818182
54->55,0.0
55->56,0.0
56->57,0.0
57->58,0.0
58->59,0.0
59->60,0.09032258064516129
60->61,0.0
61->62,0.008547008547008548
62->63,0.0
63->64,0.0
64->65,0.00909090909090909
65->66,0.0
66->67,0.0
67->68,0.0
68->69,0.0
69->70,0.0
70->71,0.0
71->72,0.0
72->73,0.008928571428571428
73->74,0.0
74->75,0.0125
75->76,0.0
76->77,0.0
77->78,0.0
78->79,0.01694915254237288
79->80,0.0
80->81,0.0
81->82,0.0
82->83,0.0
83->84,0.008264462809917356
84->85,0.0
85->86,0.00819672131147541
86->87,0.014492753623188406
87->88,0.0
88->89,0.010526315789473684
89->90,0.0
90->91,0.011363636363636364
91->92,0.0
92->93,0.0
93->94,0.04861111111111111
94->95,0.0
95->96,0.0
96->97,0.05785123966942149
97->98,0.0
98->99,0.0
99->100,0.025974025974025976
100->101,0.0
