,All
51->52,0.2
52->53,0.0
53->54,0.4
54->55,0.0
55->56,0.2
56->57,0.0
57->58,0.0
58->59,0.4
59->60,0.0
60->61,0.0
61->62,0.3
62->63,0.0
63->64,0.0
64->65,0.4
65->66,0.2
66->67,0.0
67->68,0.3
68->69,0.0
69->70,0.0
70->71,0.0
71->72,0.0
72->73,0.0
73->74,0.0
74->75,0.0
75->76,0.2
76->77,0.0
77->78,0.2
78->79,0.1
79->80,0.0
80->81,0.0
81->82,0.0
82->83,0.0
83->84,0.4
84->85,0.0
85->86,0.2
86->87,0.2
87->88,0.2
88->89,0.0
89->90,0.0
90->91,0.0
91->92,0.2
92->93,0.0
93->94,0.3
94->95,0.0
95->96,0.2
96->97,0.2
97->98,0.3
98->99,0.0
99->100,0.0
100->101,0.0
