,All
51->52,0.08840545926477482
52->53,0.0
53->54,0.29638836673731744
54->55,0.0
55->56,0.23165732683700074
56->57,0.0
57->58,0.0
58->59,0.27240630537282096
59->60,0.0
60->61,0.0
61->62,0.203649809403199
62->63,0.0
63->64,0.0
64->65,0.2623478344700178
65->66,0.17074753276249974
66->67,0.067500463640696
67->68,0.17329827415997193
68->69,0.0
69->70,0.0
70->71,0.0
71->72,0.0
72->73,0.07186629789695316
73->74,0.10432315486326539
74->75,0.0
75->76,0.13219333519486048
76->77,0.0
77->78,0.2657202990929832
78->79,0.08573131804326867
79->80,0.0
80->81,0.0
81->82,0.0707229293137027
82->83,0.06520326171589681
83->84,0.4109267888303456
84->85,0.0
85->86,0.25204632031367413
86->87,0.12161570279144569
87->88,0.20321335501168916
88->89,0.0
89->90,0.0
90->91,0.0
91->92,0.08381709190192062
92->93,0.0
93->94,0.4535769276991072
94->95,0.0
95->96,0.2645222974045777
96->97,0.167846712011385
97->98,0.21287318163756513
98->99,0.07437123975468417
99->100,0.03475017269886857
100->101,0.0
