,All
51->52,0.067500463640696
52->53,0.17920730940158638
53->54,0.5806744769057779
54->55,0.0
55->56,0.1596557871202535
56->57,0.23165732683700074
57->58,0.0
58->59,0.0
59->60,0.08381709190192062
60->61,0.1455061688618945
61->62,0.32155469814338405
62->63,0.0
63->64,0.0
64->65,0.2895519203903148
65->66,0.0
66->67,0.10554427104660292
67->68,0.5256734591549804
68->69,0.0
69->70,0.0
70->71,0.0
71->72,0.09215532347955749
72->73,0.0
73->74,0.0
74->75,0.0
75->76,0.0
76->77,0.06520326171589681
77->78,0.07366303835498346
78->79,0.0
79->80,0.10554427104660292
80->81,0.067500463640696
81->82,0.0780057052211985
82->83,0.10554427104660292
83->84,0.09215532347955749
84->85,0.23773760624146342
85->86,0.3081657505763386
86->87,0.0
87->88,0.0
88->89,0.23165732683700074
89->90,0.0
90->91,0.0
91->92,0.0
92->93,0.0780057052211985
93->94,0.5732801423254275
94->95,0.0
95->96,0.0
96->97,0.3517768690353639
97->98,0.0
98->99,0.08381709190192062
99->100,0.07366303835498346
100->101,0.0
