,All
51->52,0.0
52->53,0.10554427104660292
53->54,0.5783772749809787
54->55,0.0
55->56,0.17016102870075597
56->57,0.13219333519486048
57->58,0.0
58->59,0.0
59->60,0.07366303835498346
60->61,0.1573585851954543
61->62,0.3950961914369177
62->63,0.0
63->64,0.0
64->65,0.3548767271676614
65->66,0.0
66->67,0.09215532347955749
67->68,0.5340116907326172
68->69,0.0
69->70,0.0
70->71,0.0
71->72,0.0780057052211985
72->73,0.0
73->74,0.0
74->75,0.0
75->76,0.0
76->77,0.0
77->78,0.0702601826072829
78->79,0.0
79->80,0.10554427104660292
80->81,0.07366303835498346
81->82,0.08381709190192062
82->83,0.37890110823714285
83->84,0.23165732683700074
84->85,0.33720159788360365
85->86,0.3081657505763386
86->87,0.0
87->88,0.0
88->89,0.23165732683700074
89->90,0.0
90->91,0.0
91->92,0.0
92->93,0.0
93->94,0.5732801423254275
94->95,0.0
95->96,0.06520326171589681
96->97,0.29728624144629884
97->98,0.07366303835498346
98->99,0.0
99->100,0.07366303835498346
100->101,0.0
