,All
51->52,0.05
52->53,0.0
53->54,0.25
54->55,0.0
55->56,0.1
56->57,0.05
57->58,0.05
58->59,0.05
59->60,0.05
60->61,0.0
61->62,0.2
62->63,0.1
63->64,0.0
64->65,0.05
65->66,0.15
66->67,0.0
67->68,0.3
68->69,0.0
69->70,0.0
70->71,0.0
71->72,0.05
72->73,0.0
73->74,0.0
74->75,0.0
75->76,0.0
76->77,0.05
77->78,0.0
78->79,0.0
79->80,0.05
80->81,0.0
81->82,0.1
82->83,0.25
83->84,0.05
84->85,0.15
85->86,0.05
86->87,0.2
87->88,0.0
88->89,0.1
89->90,0.0
90->91,0.0
91->92,0.1
92->93,0.05
93->94,0.0
94->95,0.0
95->96,0.05
96->97,0.1
97->98,0.0
98->99,0.0
99->100,0.15
100->101,0.0
