,All
51->52,0.00435097897026831
52->53,0.0012762078395624431
53->54,0.0
54->55,0.0
55->56,0.0011560693641618498
56->57,0.0
57->58,0.0
58->59,0.0
59->60,0.0053475935828877
60->61,0.0020234722784297854
61->62,0.0022002200220022
62->63,0.004792332268370607
63->64,0.0006501950585175553
64->65,0.0010526315789473684
65->66,0.0
66->67,0.004488330341113106
67->68,0.0035650623885918
68->69,0.0009508716323296355
69->70,0.002786112301757394
70->71,0.0017096265123619147
71->72,0.00425531914893617
72->73,0.001697792869269949
73->74,0.0036429872495446266
74->75,0.001955671447196871
75->76,0.002714354143381766
76->77,0.0006997900629811056
77->78,0.0
78->79,0.0
79->80,0.001784121320249777
80->81,0.0018058690744920992
81->82,0.0009341429238673517
82->83,0.0
83->84,0.0011869436201780415
84->85,0.008663366336633664
85->86,0.0029917726252804786
86->87,0.005752636625119847
87->88,0.0016181229773462784
88->89,0.0
89->90,0.00044886661180519187
90->91,0.0034904013961605585
91->92,0.0022624434389140274
92->93,0.008988764044943821
93->94,0.0006116207951070336
94->95,0.0
95->96,0.002290950744558992
96->97,0.0018028846153846155
97->98,0.0
98->99,0.0034617048896581565
99->100,0.001026694045174538
100->101,0.0
