,All
51->52,2.815165609936909e-05
52->53,0.0005191669182010262
53->54,0.03588516746411483
54->55,0.019672131147540985
55->56,0.01079913606911447
56->57,0.00014147439902854246
57->58,0.0001206896551724138
58->59,0.016853932584269662
59->60,9.67305088024763e-05
60->61,1.3980539089587295e-05
61->62,1.2262716436945113e-05
62->63,9.427514200193263e-05
63->64,-1.0
64->65,7.071135624381275e-05
65->66,0.0
66->67,0.017241379310344827
67->68,0.027777777777777776
68->69,-1.0
69->70,0.0
70->71,8.760211121088018e-05
71->72,0.0
72->73,0.0
73->74,2.5703637064644647e-05
74->75,0.014285714285714285
75->76,6.331618519984171e-05
76->77,1.3432013861838306e-05
77->78,0.00016592002654720425
78->79,0.00032781511227667593
79->80,6.784145452078493e-05
80->81,0.014705882352941176
81->82,-1.0
82->83,0.00015528218223226763
83->84,0.00014570415580631062
84->85,7.834411870700867e-05
85->86,8.088324503579083e-05
86->87,3.626714378109152e-05
87->88,0.0001639433848844199
88->89,0.0
89->90,0.0
90->91,9.493070058857034e-05
91->92,0.00019987085267980688
92->93,7.892244554351258e-05
93->94,5.812094969631804e-05
94->95,4.309416074121957e-05
95->96,0.0
96->97,0.0001861590729278168
97->98,7.69941484447182e-05
98->99,3.6351078718260966e-05
99->100,1.8119552809436662e-05
100->101,2.108725907806503e-05
