,All
51->52,1.0
52->53,1.0
53->54,0.9375
54->55,0.6
55->56,1.0
56->57,1.0
57->58,1.0
58->59,0.6
59->60,1.0
60->61,0.16666666666666666
61->62,0.06666666666666667
62->63,1.0
63->64,-1.0
64->65,1.0
65->66,0.0
66->67,0.3333333333333333
67->68,1.0
68->69,-1.0
69->70,0.0
70->71,1.0
71->72,0.0
72->73,0.0
73->74,1.0
74->75,0.125
75->76,1.0
76->77,0.09090909090909091
77->78,1.0
78->79,1.0
79->80,1.0
80->81,1.0
81->82,-1.0
82->83,1.0
83->84,1.0
84->85,1.0
85->86,1.0
86->87,1.0
87->88,1.0
88->89,0.0
89->90,0.0
90->91,1.0
91->92,1.0
92->93,1.0
93->94,1.0
94->95,1.0
95->96,0.0
96->97,1.0
97->98,1.0
98->99,1.0
99->100,1.0
100->101,0.08333333333333333
