,All
51->52,0.0
52->53,0.0
53->54,0.08728687922030569
54->55,0.11001190531756853
55->56,0.0
56->57,0.0
57->58,0.11173658642523121
58->59,0.10796157423092839
59->60,0.0
60->61,0.0
61->62,0.0
62->63,0.0
63->64,-1.0
64->65,0.0
65->66,0.0
66->67,0.04105877938688905
67->68,0.0
68->69,-1.0
69->70,0.0
70->71,0.0
71->72,0.0
72->73,0.0
73->74,0.0
74->75,0.0
75->76,0.0
76->77,0.0
77->78,0.06117331537803186
78->79,0.1624340474782024
79->80,0.0
80->81,0.0
81->82,-1.0
82->83,0.0
83->84,0.0
84->85,0.0
85->86,0.0
86->87,0.03962106705581559
87->88,0.05494858807198587
88->89,0.0
89->90,0.0
90->91,0.0
91->92,0.18938671951154307
92->93,0.03343749138471349
93->94,0.12305477858805693
94->95,0.032864970567577
95->96,0.0
96->97,0.03962106705581559
97->98,0.0
98->99,0.08961728720334343
99->100,0.0
100->101,0.0
