,All
51->52,0.0
52->53,0.12
53->54,0.06
54->55,0.08
55->56,0.0
56->57,0.0
57->58,0.16
58->59,0.08
59->60,0.0
60->61,0.0
61->62,0.0
62->63,0.08
63->64,-1.0
64->65,0.0
65->66,0.0
66->67,0.0
67->68,0.0
68->69,-1.0
69->70,0.12
70->71,0.0
71->72,0.0
72->73,0.0
73->74,0.0
74->75,0.1
75->76,0.02
76->77,0.0
77->78,0.04
78->79,0.24
79->80,0.0
80->81,0.0
81->82,-1.0
82->83,0.04
83->84,0.08
84->85,0.04
85->86,0.04
86->87,0.04
87->88,0.32
88->89,0.0
89->90,0.0
90->91,0.0
91->92,0.2
92->93,0.0
93->94,0.04
94->95,0.0
95->96,0.0
96->97,0.2
97->98,0.04
98->99,0.0
99->100,0.0
100->101,0.0
