,All
51->52,0.02845927379784102
52->53,0.03231017770597738
53->54,0.0210896309314587
54->55,0.02696629213483146
55->56,0.05740181268882175
56->57,0.04428044280442804
57->58,0.0011493623775381753
58->59,0.12014134275618374
59->60,0.035233160621761656
60->61,0.03135135135135135
61->62,0.085
62->63,0.015373864430468204
63->64,0.05825242718446602
64->65,0.015364916773367477
65->66,0.05603448275862069
66->67,0.009689922480620155
67->68,0.0509433962264151
68->69,0.023923444976076555
69->70,0.0594059405940594
70->71,0.0430622009569378
71->72,0.027932960893854747
72->73,0.02622950819672131
73->74,0.020454545454545454
74->75,0.028368794326241134
75->76,0.013365735115431349
76->77,0.046703296703296704
77->78,0.08695652173913043
78->79,0.05785123966942149
79->80,0.07
80->81,0.05985915492957746
81->82,0.0425531914893617
82->83,0.08292682926829269
83->84,0.06880733944954129
84->85,0.031945788964181994
85->86,0.10884353741496598
86->87,0.05851755526657997
87->88,0.021897810218978103
88->89,0.1896551724137931
89->90,0.06481481481481481
90->91,0.14583333333333334
91->92,0.013265950726468731
92->93,0.08823529411764706
93->94,0.12598425196850394
94->95,0.07339449541284404
95->96,0.19736842105263158
96->97,0.14423076923076922
97->98,0.09836065573770492
98->99,0.047244094488188976
99->100,0.06306306306306306
100->101,0.13333333333333333
