,All
51->52,0.001288659793814433
52->53,0.0
53->54,0.0
54->55,0.08333333333333333
55->56,0.0
56->57,0.0
57->58,0.006968641114982578
58->59,0.2727272727272727
59->60,0.03333333333333333
60->61,0.0
61->62,0.0
62->63,0.08
63->64,0.0
64->65,0.0
65->66,0.07692307692307693
66->67,0.0
67->68,0.2857142857142857
68->69,0.07692307692307693
69->70,0.0
70->71,0.0
71->72,0.25
72->73,0.0
73->74,0.07407407407407407
74->75,0.0
75->76,0.0
76->77,0.10526315789473684
77->78,0.0
78->79,0.07692307692307693
79->80,0.0
80->81,0.03571428571428571
81->82,0.0
82->83,0.14285714285714285
83->84,0.09523809523809523
84->85,0.09230769230769231
85->86,0.09523809523809523
86->87,0.23529411764705882
87->88,0.09090909090909091
88->89,0.2
89->90,0.05714285714285714
90->91,0.1
91->92,0.038461538461538464
92->93,0.0
93->94,0.25
94->95,0.0
95->96,0.07142857142857142
96->97,0.05
97->98,0.14285714285714285
98->99,0.019230769230769232
99->100,0.0
100->101,0.0
