,All
51->52,0.3020833333333333
52->53,0.35398230088495575
53->54,0.2857142857142857
54->55,0.20689655172413793
55->56,0.2638888888888889
56->57,0.4
57->58,0.4077669902912621
58->59,0.35051546391752575
59->60,0.30357142857142855
60->61,0.29
61->62,0.20238095238095238
62->63,0.36065573770491804
63->64,0.2608695652173913
64->65,0.16666666666666666
65->66,0.19117647058823528
66->67,0.10638297872340426
67->68,0.3698630136986301
68->69,0.22388059701492538
69->70,0.10344827586206896
70->71,0.15
71->72,0.1282051282051282
72->73,0.11594202898550725
73->74,0.24
74->75,0.09090909090909091
75->76,0.171875
76->77,0.2537313432835821
77->78,0.2
78->79,0.2222222222222222
79->80,0.14
80->81,0.19101123595505617
81->82,0.10126582278481013
82->83,0.22077922077922077
83->84,0.15151515151515152
84->85,0.3548387096774194
85->86,0.16494845360824742
86->87,0.45454545454545453
87->88,0.07894736842105263
88->89,0.15492957746478872
89->90,0.11666666666666667
90->91,0.109375
91->92,0.38181818181818183
92->93,0.1016949152542373
93->94,0.14035087719298245
94->95,0.1702127659574468
95->96,0.17647058823529413
96->97,0.20270270270270271
97->98,0.09090909090909091
98->99,0.16901408450704225
99->100,0.13725490196078433
100->101,0.20253164556962025
