,All
51->52,0.010416666666666666
52->53,0.0
53->54,0.0
54->55,0.017241379310344827
55->56,0.0
56->57,0.0
57->58,0.019417475728155338
58->59,0.030927835051546393
59->60,0.008928571428571428
60->61,0.0
61->62,0.0
62->63,0.03278688524590164
63->64,0.0
64->65,0.0
65->66,0.014705882352941176
66->67,0.0
67->68,0.0273972602739726
68->69,0.014925373134328358
69->70,0.0
70->71,0.0
71->72,0.02564102564102564
72->73,0.0
73->74,0.02666666666666667
74->75,0.0
75->76,0.0
76->77,0.029850746268656716
77->78,0.0
78->79,0.047619047619047616
79->80,0.0
80->81,0.011235955056179775
81->82,0.0
82->83,0.012987012987012988
83->84,0.020202020202020204
84->85,0.06451612903225806
85->86,0.020618556701030927
86->87,0.04040404040404041
87->88,0.02631578947368421
88->89,0.014084507042253521
89->90,0.03333333333333333
90->91,0.015625
91->92,0.01818181818181818
92->93,0.0
93->94,0.02631578947368421
94->95,0.0
95->96,0.011764705882352941
96->97,0.013513513513513514
97->98,0.015151515151515152
98->99,0.056338028169014086
99->100,0.0
100->101,0.0
