,All
51->52,0.12987501165334073
52->53,0.1635413866202963
53->54,0.12987501165334073
54->55,0.0
55->56,0.0
56->57,0.0
57->58,0.0
58->59,0.3589542101716347
59->60,0.06625422345438903
60->61,0.7967610662472991
61->62,0.5637884576902256
62->63,0.3589542101716347
63->64,0.0
64->65,0.14876390584057267
65->66,0.0
66->67,0.0
67->68,0.8630152897016882
68->69,0.12987501165334073
69->70,0.0
70->71,0.0
71->72,0.0
72->73,0.0
73->74,0.34762939155472816
74->75,0.0
75->76,0.0
76->77,0.1635413866202963
77->78,0.0
78->79,0.0
79->80,0.37644595227924255
80->81,0.0
81->82,0.1427951440361373
82->83,0.1884441521277154
83->84,0.6936634693435664
84->85,0.0
85->86,0.3589542101716347
86->87,0.0
87->88,0.0
88->89,0.3301376494471202
89->90,0.0
90->91,0.4888292218249754
91->92,0.0
92->93,0.0
93->94,0.17993148201117173
94->95,0.4729327934832575
95->96,0.0
96->97,0.0
97->98,0.0
98->99,0.0
99->100,0.0
100->101,0.3063365306564336
