,All
51->52,0.0
52->53,0.0
53->54,0.33798414482679834
54->55,0.0
55->56,0.0636207881989517
56->57,0.0636207881989517
57->58,0.0
58->59,0.21145027911440428
59->60,0.07839826897867533
60->61,0.0
61->62,0.3937584376460719
62->63,0.09478836436955078
63->64,0.07336392209936006
64->65,0.0
65->66,0.0
66->67,0.0
67->68,0.09478836436955078
68->69,0.09478836436955078
69->70,0.0
70->71,0.0
71->72,0.0
72->73,0.0
73->74,0.0
74->75,0.0
75->76,0.16421958630632802
76->77,0.17993148201117173
77->78,0.2758471541718662
78->79,0.0
79->80,0.32806229768146455
80->81,0.0
81->82,0.0
82->83,0.06625422345438903
83->84,0.08514311764162097
84->85,0.1736666713479918
85->86,0.36005585688836717
86->87,0.07839826897867533
87->88,0.0
88->89,0.2837125544970318
89->90,0.0
90->91,0.45767527470376823
91->92,0.0
92->93,0.23365080824310527
93->94,0.07336392209936006
94->95,0.14465249243306436
95->96,0.3452783761086435
96->97,0.2837125544970318
97->98,0.17993148201117173
98->99,0.0
99->100,0.25832975098984706
100->101,0.3277609729266243
