,All
51->52,0.0
52->53,0.0
53->54,0.0
54->55,0.07839826897867533
55->56,0.0
56->57,0.0
57->58,0.0
58->59,0.06625422345438903
59->60,0.0
60->61,0.0
61->62,0.0
62->63,0.17993148201117173
63->64,0.0
64->65,0.0
65->66,0.1635413866202963
66->67,0.0
67->68,0.5271064966405455
68->69,0.0
69->70,0.0
70->71,0.0
71->72,0.24890832702259458
72->73,0.0
73->74,0.1635413866202963
74->75,0.0
75->76,0.0
76->77,0.15457433957839825
77->78,0.0
78->79,0.08514311764162097
79->80,0.0
80->81,0.0
81->82,0.0
82->83,0.15850703974098102
83->84,0.16104258782393982
84->85,0.09478836436955078
85->86,0.0
86->87,0.06943122193677725
87->88,0.0
88->89,0.3589542101716347
89->90,0.0636207881989517
90->91,0.0
91->92,0.0
92->93,0.0
93->94,0.0
94->95,0.0
95->96,0.0
96->97,0.0
97->98,0.13305201013572895
98->99,0.0
99->100,0.0
100->101,0.0
