,All
51->52,0.16241550608684038
52->53,0.23165732683700074
53->54,0.0
54->55,0.0
55->56,0.0
56->57,0.07366303835498346
57->58,0.0
58->59,0.29184912231511395
59->60,0.13886630007088027
60->61,0.6909726712283638
61->62,0.3023543638956165
62->63,0.40355596807600436
63->64,0.06520326171589681
64->65,0.09215532347955749
65->66,0.13219333519486048
66->67,0.0
67->68,0.6234722075876677
68->69,0.06520326171589681
69->70,0.0
70->71,0.0
71->72,0.0
72->73,0.0
73->74,0.16581836183454093
74->75,0.067500463640696
75->76,0.06520326171589681
76->77,0.0
77->78,0.210199040416059
78->79,0.23165732683700074
79->80,0.22702605883901592
80->81,0.067500463640696
81->82,0.0702601826072829
82->83,0.09215532347955749
83->84,0.0702601826072829
84->85,0.7132190001342037
85->86,0.38332607041318273
86->87,0.06520326171589681
87->88,0.0
88->89,0.09215532347955749
89->90,0.0
90->91,0.3799232146654821
91->92,0.0
92->93,0.10554427104660292
93->94,0.23165732683700074
94->95,0.06520326171589681
95->96,0.21601042709678112
96->97,0.0
97->98,0.10554427104660292
98->99,0.13219333519486048
99->100,0.1976995945261604
100->101,0.39956040336458254
