,All
51->52,0.14826588782848138
52->53,0.0
53->54,0.0702601826072829
54->55,0.09215532347955749
55->56,0.14392322096226634
56->57,0.0
57->58,0.0
58->59,0.3157433114626619
59->60,0.1759724153814781
60->61,0.686266938370543
61->62,0.30799778884874635
62->63,0.40355596807600436
63->64,0.0
64->65,0.10554427104660292
65->66,0.18936136294852354
66->67,0.0
67->68,0.6073235410540354
68->69,0.0
69->70,0.0
70->71,0.0
71->72,0.0
72->73,0.0
73->74,0.21916920721687796
74->75,0.0
75->76,0.067500463640696
76->77,0.0702601826072829
77->78,0.08381709190192062
78->79,0.16581836183454093
79->80,0.16581836183454093
80->81,0.0
81->82,0.07366303835498346
82->83,0.13219333519486048
83->84,0.15748013025690408
84->85,0.6367850412547017
85->86,0.476067897954484
86->87,0.0
87->88,0.0
88->89,0.08381709190192062
89->90,0.0
90->91,0.4047020615242996
91->92,0.0
92->93,0.09215532347955749
93->94,0.29686058855289754
94->95,0.29915779047769675
95->96,0.4076297422184789
96->97,0.0
97->98,0.13219333519486048
98->99,0.2510504399084974
99->100,0.16241550608684038
100->101,0.651285847546626
