,All
51->52,0.04
52->53,0.08
53->54,0.18
54->55,0.08
55->56,0.08
56->57,0.24
57->58,0.04
58->59,0.16
59->60,0.16
60->61,0.18
61->62,0.14
62->63,0.08
63->64,0.0
64->65,0.04
65->66,0.12
66->67,0.0
67->68,0.3
68->69,0.08
69->70,0.0
70->71,0.0
71->72,0.06
72->73,0.04
73->74,0.2
74->75,0.08
75->76,0.04
76->77,0.1
77->78,0.14
78->79,0.08
79->80,0.12
80->81,0.04
81->82,0.2
82->83,0.04
83->84,0.16
84->85,0.28
85->86,0.24
86->87,0.04
87->88,0.0
88->89,0.24
89->90,0.06
90->91,0.16
91->92,0.04
92->93,0.16
93->94,0.04
94->95,0.12
95->96,0.2
96->97,0.08
97->98,0.12
98->99,0.08
99->100,0.04
100->101,0.16
