,All
51->52,0.16
52->53,0.12
53->54,0.2
54->55,0.08
55->56,0.08
56->57,0.08
57->58,0.0
58->59,0.16
59->60,0.24
60->61,0.28
61->62,0.24
62->63,0.2
63->64,0.08
64->65,0.04
65->66,0.08
66->67,0.0
67->68,0.32
68->69,0.12
69->70,0.0
70->71,0.0
71->72,0.0
72->73,0.04
73->74,0.24
74->75,0.04
75->76,0.12
76->77,0.08
77->78,0.12
78->79,0.08
79->80,0.12
80->81,0.04
81->82,0.04
82->83,0.08
83->84,0.2
84->85,0.32
85->86,0.2
86->87,0.2
87->88,0.0
88->89,0.2
89->90,0.04
90->91,0.2
91->92,0.04
92->93,0.08
93->94,0.24
94->95,0.12
95->96,0.2
96->97,0.04
97->98,0.04
98->99,0.12
99->100,0.08
100->101,0.32
