,All
51->52,0.0
52->53,0.06
53->54,0.18
54->55,0.02
55->56,0.08
56->57,0.1
57->58,0.0
58->59,0.26
59->60,0.02
60->61,0.04
61->62,0.28
62->63,0.02
63->64,0.12
64->65,0.0
65->66,0.04
66->67,0.0
67->68,0.1
68->69,0.06
69->70,0.04
70->71,0.0
71->72,0.08
72->73,0.02
73->74,0.02
74->75,0.08
75->76,0.1
76->77,0.04
77->78,0.12
78->79,0.1
79->80,0.2
80->81,0.04
81->82,0.04
82->83,0.12
83->84,0.16
84->85,0.34
85->86,0.24
86->87,0.24
87->88,0.0
88->89,0.24
89->90,0.04
90->91,0.2
91->92,0.0
92->93,0.2
93->94,0.16
94->95,0.12
95->96,0.16
96->97,0.08
97->98,0.12
98->99,0.12
99->100,0.12
100->101,0.32
