,All
51->52,9.380833705960894e-06
52->53,0.00015176809834572774
53->54,0.012578616352201259
54->55,0.02888086642599278
55->56,0.021739130434782608
56->57,0.019230769230769232
57->58,0.016129032258064516
58->59,0.04054054054054054
59->60,0.019417475728155338
60->61,0.014598540145985401
61->62,0.02654867256637168
62->63,0.011111111111111112
63->64,0.0
64->65,0.046511627906976744
65->66,0.0
66->67,0.04
67->68,0.038461538461538464
68->69,0.0
69->70,0.0
70->71,0.0
71->72,0.00018377285674905816
72->73,0.0
73->74,0.06382978723404255
74->75,0.023391812865497075
75->76,0.018633540372670808
76->77,0.0
77->78,0.0
78->79,0.013157894736842105
79->80,0.0196078431372549
80->81,0.04040404040404041
81->82,6.938277087033747e-05
82->83,0.017241379310344827
83->84,0.017094017094017096
84->85,0.08
85->86,0.02127659574468085
86->87,0.03333333333333333
87->88,0.014814814814814815
88->89,0.04
89->90,0.03508771929824561
90->91,0.005952380952380952
91->92,0.017241379310344827
92->93,0.02631578947368421
93->94,0.010752688172043012
94->95,0.00010755926515510046
95->96,0.0273972602739726
96->97,0.04477611940298507
97->98,0.0
98->99,0.04
99->100,0.033707865168539325
100->101,0.04
