,All
51->52,0.5
52->53,1.0
53->54,0.18181818181818182
54->55,0.7272727272727273
55->56,0.25
56->57,0.5
57->58,0.2
58->59,0.2727272727272727
59->60,0.18181818181818182
60->61,0.25
61->62,0.5
62->63,0.25
63->64,0.0
64->65,0.5714285714285714
65->66,0.0
66->67,0.5
67->68,0.2222222222222222
68->69,0.0
69->70,0.0
70->71,0.0
71->72,0.75
72->73,0.0
73->74,0.375
74->75,0.3333333333333333
75->76,0.42857142857142855
76->77,0.0
77->78,0.0
78->79,0.25
79->80,0.42857142857142855
80->81,0.3333333333333333
81->82,0.8333333333333334
82->83,0.1111111111111111
83->84,0.5
84->85,0.7142857142857143
85->86,1.0
86->87,0.3333333333333333
87->88,0.5
88->89,0.4
89->90,0.3333333333333333
90->91,0.25
91->92,0.3333333333333333
92->93,1.0
93->94,0.125
94->95,1.0
95->96,0.2857142857142857
96->97,0.6
97->98,0.0
98->99,0.2222222222222222
99->100,0.8571428571428571
100->101,0.6666666666666666
