,All
51->52,0.0
52->53,0.0
53->54,0.0
54->55,0.0
55->56,0.23165732683700074
56->57,0.2563348736279782
57->58,0.0
58->59,0.0
59->60,0.0
60->61,0.0
61->62,0.0
62->63,0.03406297225598251
63->64,0.0
64->65,0.1645316263431803
65->66,0.0
66->67,0.0
67->68,0.03962106705581559
68->69,0.0
69->70,0.0
70->71,0.0
71->72,0.16063730702017207
72->73,0.0
73->74,0.0
74->75,0.08838607945669937
75->76,0.03635628798853883
76->77,0.0
77->78,0.0
78->79,0.07339707053520887
79->80,0.0
80->81,0.0
81->82,0.0
82->83,0.0
83->84,0.0
84->85,0.15079060258137528
85->86,0.0837029678664246
86->87,0.0
87->88,0.0
88->89,0.0
89->90,0.0
90->91,0.0
91->92,0.0
92->93,0.0
93->94,0.0
94->95,0.0
95->96,0.07692781742226024
96->97,0.0
97->98,0.0
98->99,0.0
99->100,0.0
100->101,0.03406297225598251
