,All
51->52,0.0
52->53,0.03539177414942469
53->54,0.07215815210208543
54->55,0.04079757205395857
55->56,0.15569663472297096
56->57,0.17675416419200868
57->58,0.0
58->59,0.06025161335217986
59->60,0.028627642912781248
60->61,0.03408212229352723
61->62,0.15494701775836114
62->63,0.03181256173790483
63->64,0.0
64->65,0.1478709334005143
65->66,0.0
66->67,0.041991293602317147
67->68,0.10424607326647903
68->69,0.0
69->70,0.0
70->71,0.0
71->72,0.11552259402948142
72->73,0.0
73->74,0.08259288901225133
74->75,0.17243051473858617
75->76,0.0
76->77,0.0
77->78,0.0
78->79,0.0
79->80,0.07777107742263356
80->81,0.028975686810930445
81->82,0.0
82->83,0.0
83->84,0.036245340640172985
84->85,0.2011184712652071
85->86,0.0
86->87,0.0
87->88,0.0
88->89,0.057611675750961766
89->90,0.15915168138293867
90->91,0.03974725999422886
91->92,0.06964614417968394
92->93,0.06221747632155095
93->94,0.05583819708588003
94->95,0.0
95->96,0.037561873849053524
96->97,0.06580290625147182
97->98,0.0
98->99,0.12645088801811782
99->100,0.10394169472978869
100->101,0.12645088801811782
