,All
51->52,0.0
52->53,0.04079757205395857
53->54,0.12645088801811782
54->55,0.05446597707241248
55->56,0.07115254554747188
56->57,0.1147378141847811
57->58,0.0
58->59,0.046826556789488855
59->60,0.03142171954705343
60->61,0.0342965795948818
61->62,0.13863476422646645
62->63,0.04179531695829276
63->64,0.0
64->65,0.14415557818190897
65->66,0.0
66->67,0.03340512286136246
67->68,0.14793410917875893
68->69,0.0
69->70,0.0
70->71,0.0
71->72,0.05207675483897259
72->73,0.0
73->74,0.06224665863164033
74->75,0.16963177918347458
75->76,0.0
76->77,0.0
77->78,0.0
78->79,0.0
79->80,0.07580061118510907
80->81,0.0
81->82,0.0
82->83,0.0
83->84,0.07359679926404171
84->85,0.2095549657894291
85->86,0.02884150689596728
86->87,0.0
87->88,0.0
88->89,0.07315782535714127
89->90,0.14484713692967385
90->91,0.04131638496333211
91->92,0.0673269128115723
92->93,0.05944595649732502
93->94,0.06338551001212524
94->95,0.0
95->96,0.03797663340450619
96->97,0.034434289884827426
97->98,0.0
98->99,0.12645088801811782
99->100,0.07653569534252735
100->101,0.03835174395005146
