,All
51->52,0.07352941176470588
52->53,0.47540983606557374
53->54,0.2556818181818182
54->55,0.07692307692307693
55->56,0.12222222222222222
56->57,0.17886178861788618
57->58,0.16546762589928057
58->59,0.18181818181818182
59->60,0.10967741935483871
60->61,0.16923076923076924
61->62,0.20512820512820512
62->63,0.1134020618556701
63->64,0.06451612903225806
64->65,0.13636363636363635
65->66,0.05405405405405406
66->67,0.13924050632911392
67->68,0.15454545454545454
68->69,0.052083333333333336
69->70,0.05154639175257732
70->71,0.012195121951219513
71->72,0.10810810810810811
72->73,0.08928571428571429
73->74,0.18
74->75,0.0125
75->76,0.043478260869565216
76->77,0.07608695652173914
77->78,0.10606060606060606
78->79,0.1271186440677966
79->80,0.08974358974358974
80->81,0.08035714285714286
81->82,0.13541666666666666
82->83,0.09174311926605505
83->84,0.15702479338842976
84->85,0.17355371900826447
85->86,0.12295081967213115
86->87,0.2536231884057971
87->88,0.08196721311475409
88->89,0.10526315789473684
89->90,0.05128205128205128
90->91,0.10227272727272728
91->92,0.14492753623188406
92->93,0.07692307692307693
93->94,0.125
94->95,0.05
95->96,0.16806722689075632
96->97,0.09090909090909091
97->98,0.0891089108910891
98->99,0.07446808510638298
99->100,0.09090909090909091
100->101,0.0782608695652174
