,All
51->52,0.06628863937881284
52->53,0.15760016559633444
53->54,0.40661310627634506
54->55,0.0
55->56,0.08714861875615439
56->57,0.12645088801811782
57->58,0.0
58->59,0.030355773621352913
59->60,0.13499894315632477
60->61,0.14296373528936532
61->62,0.3269585505394142
62->63,0.030876734103266044
63->64,0.0
64->65,0.19165894178544118
65->66,0.09023924543128221
66->67,0.057611675750961766
67->68,0.3871606664492602
68->69,0.0
69->70,0.0
70->71,0.0
71->72,0.05030327617389086
72->73,0.0
73->74,0.0
74->75,0.0
75->76,0.0
76->77,0.06646814171479508
77->78,0.07301000517100045
78->79,0.0
79->80,0.057611675750961766
80->81,0.036845342582263525
81->82,0.07618576798063155
82->83,0.18298468624824216
83->84,0.05030327617389086
84->85,0.19089806521920386
85->86,0.23045735263982595
86->87,0.028666887825217605
87->88,0.0
88->89,0.12645088801811782
89->90,0.0
90->91,0.0
91->92,0.05666203486253009
92->93,0.04257966208269567
93->94,0.3718471711602298
94->95,0.0
95->96,0.028319485279043387
96->97,0.19201852184478405
97->98,0.06353873062440613
98->99,0.04575182596987993
99->100,0.07166001303359258
100->101,0.0
