,All
51->52,0.16
52->53,0.02
53->54,0.3
54->55,0.0
55->56,0.08
56->57,0.06
57->58,0.08
58->59,0.16
59->60,0.0
60->61,0.06
61->62,0.16
62->63,0.0
63->64,0.0
64->65,0.12
65->66,0.12
66->67,0.04
67->68,0.16
68->69,0.04
69->70,0.04
70->71,0.0
71->72,0.08
72->73,0.08
73->74,0.08
74->75,0.0
75->76,0.08
76->77,0.04
77->78,0.16
78->79,0.1
79->80,0.04
80->81,0.0
81->82,0.08
82->83,0.1
83->84,0.16
84->85,0.12
85->86,0.18
86->87,0.16
87->88,0.04
88->89,0.0
89->90,0.0
90->91,0.0
91->92,0.06
92->93,0.04
93->94,0.28
94->95,0.0
95->96,0.16
96->97,0.22
97->98,0.08
98->99,0.04
99->100,0.04
100->101,0.02
