,All
51->52,0.08
52->53,0.16
53->54,0.32
54->55,0.0
55->56,0.08
56->57,0.04
57->58,0.0
58->59,0.04
59->60,0.16
60->61,0.16
61->62,0.32
62->63,0.04
63->64,0.0
64->65,0.16
65->66,0.12
66->67,0.04
67->68,0.28
68->69,0.0
69->70,0.0
70->71,0.0
71->72,0.04
72->73,0.0
73->74,0.0
74->75,0.0
75->76,0.0
76->77,0.08
77->78,0.08
78->79,0.0
79->80,0.04
80->81,0.04
81->82,0.08
82->83,0.2
83->84,0.04
84->85,0.16
85->86,0.2
86->87,0.04
87->88,0.0
88->89,0.04
89->90,0.0
90->91,0.0
91->92,0.08
92->93,0.04
93->94,0.28
94->95,0.0
95->96,0.04
96->97,0.16
97->98,0.08
98->99,0.04
99->100,0.08
100->101,0.0
