,All
51->52,0.08
52->53,0.08
53->54,0.28
54->55,0.04
55->56,0.08
56->57,0.08
57->58,0.08
58->59,0.04
59->60,0.16
60->61,0.16
61->62,0.36
62->63,0.0
63->64,0.0
64->65,0.2
65->66,0.04
66->67,0.04
67->68,0.28
68->69,0.0
69->70,0.04
70->71,0.0
71->72,0.04
72->73,0.0
73->74,0.0
74->75,0.0
75->76,0.0
76->77,0.08
77->78,0.08
78->79,0.0
79->80,0.04
80->81,0.04
81->82,0.08
82->83,0.24
83->84,0.12
84->85,0.12
85->86,0.16
86->87,0.08
87->88,0.0
88->89,0.08
89->90,0.0
90->91,0.0
91->92,0.08
92->93,0.04
93->94,0.28
94->95,0.0
95->96,0.04
96->97,0.16
97->98,0.08
98->99,0.04
99->100,0.08
100->101,0.0
