,All
51->52,0.022058823529411766
52->53,0.01092896174863388
53->54,0.017045454545454544
54->55,0.009615384615384616
55->56,0.0
56->57,0.016260162601626018
57->58,0.0
58->59,0.024793388429752067
59->60,0.03225806451612903
60->61,0.0
61->62,0.0
62->63,0.010309278350515464
63->64,0.0
64->65,0.03636363636363636
65->66,0.0
66->67,0.0379746835443038
67->68,0.03636363636363636
68->69,0.0
69->70,0.020618556701030927
70->71,0.0
71->72,0.013513513513513514
72->73,0.0
73->74,0.03
74->75,0.0125
75->76,0.008695652173913044
76->77,0.010869565217391304
77->78,0.0
78->79,0.0
79->80,0.02564102564102564
80->81,0.017857142857142856
81->82,0.03125
82->83,0.01834862385321101
83->84,0.024793388429752067
84->85,0.024793388429752067
85->86,0.040983606557377046
86->87,0.028985507246376812
87->88,0.0
88->89,0.0
89->90,0.01282051282051282
90->91,0.0
91->92,0.014492753623188406
92->93,0.0
93->94,0.034722222222222224
94->95,0.0
95->96,0.008403361344537815
96->97,0.0
97->98,0.0
98->99,0.010638297872340425
99->100,0.012987012987012988
100->101,0.0
