,All
51->52,0.3088235294117647
52->53,0.8306010928961749
53->54,0.6704545454545454
54->55,0.46153846153846156
55->56,0.7
56->57,0.6666666666666666
57->58,0.7553956834532374
58->59,0.47107438016528924
59->60,0.567741935483871
60->61,0.6846153846153846
61->62,0.48717948717948717
62->63,0.5257731958762887
63->64,0.3709677419354839
64->65,0.5181818181818182
65->66,0.32432432432432434
66->67,0.4177215189873418
67->68,0.5545454545454546
68->69,0.375
69->70,0.36082474226804123
70->71,0.24390243902439024
71->72,0.32432432432432434
72->73,0.3125
73->74,0.46
74->75,0.3625
75->76,0.391304347826087
76->77,0.4673913043478261
77->78,0.3484848484848485
78->79,0.3389830508474576
79->80,0.3076923076923077
80->81,0.44642857142857145
81->82,0.3333333333333333
82->83,0.3761467889908257
83->84,0.4380165289256198
84->85,0.6363636363636364
85->86,0.3524590163934426
86->87,0.5579710144927537
87->88,0.4262295081967213
88->89,0.24210526315789474
89->90,0.2948717948717949
90->91,0.22727272727272727
91->92,0.5144927536231884
92->93,0.18681318681318682
93->94,0.2361111111111111
94->95,0.38333333333333336
95->96,0.31932773109243695
96->97,0.2727272727272727
97->98,0.1782178217821782
98->99,0.3723404255319149
99->100,0.2727272727272727
100->101,0.391304347826087
