,All
51->52,0.1635413866202963
52->53,0.4888292218249754
53->54,0.3589542101716347
54->55,0.0
55->56,0.1427951440361373
56->57,0.0
57->58,0.0
58->59,0.1427951440361373
59->60,0.6316243658611128
60->61,0.5637884576902256
61->62,0.6523706084452718
62->63,0.293416398273637
63->64,0.0
64->65,0.501749354207772
65->66,0.0
66->67,0.0
67->68,0.8701249883466592
68->69,0.0
69->70,0.0
70->71,0.1427951440361373
71->72,0.12987501165334073
72->73,0.0
73->74,0.12987501165334073
74->75,0.0
75->76,0.0
76->77,0.0
77->78,0.0
78->79,0.0
79->80,0.5111707781750244
80->81,0.0
81->82,0.0
82->83,0.20483424751859083
83->84,0.12987501165334073
84->85,0.8364586133797037
85->86,0.20483424751859083
86->87,0.0
87->88,0.0
88->89,0.0
89->90,0.0
90->91,0.0
91->92,0.0
92->93,0.1427951440361373
93->94,0.33470925917193156
94->95,0.0
95->96,0.0
96->97,0.0
97->98,0.0
98->99,0.20483424751859083
99->100,0.501749354207772
100->101,0.4982506457922279
