,All
51->52,0.2
52->53,0.4
53->54,0.2
54->55,0.0
55->56,0.2
56->57,0.0
57->58,0.0
58->59,0.2
59->60,0.6
60->61,0.4
61->62,0.6
62->63,0.4
63->64,0.0
64->65,0.4
65->66,0.0
66->67,0.0
67->68,0.8
68->69,0.0
69->70,0.0
70->71,0.2
71->72,0.2
72->73,0.0
73->74,0.2
74->75,0.0
75->76,0.0
76->77,0.0
77->78,0.0
78->79,0.0
79->80,0.6
80->81,0.0
81->82,0.0
82->83,0.2
83->84,0.2
84->85,0.8
85->86,0.2
86->87,0.0
87->88,0.0
88->89,0.0
89->90,0.0
90->91,0.0
91->92,0.0
92->93,0.2
93->94,0.4
94->95,0.0
95->96,0.0
96->97,0.0
97->98,0.0
98->99,0.2
99->100,0.4
100->101,0.6
