,All
51->52,0.0
52->53,0.03730675036644463
53->54,0.0
54->55,0.0
55->56,0.0
56->57,0.0782461349863852
57->58,0.0
58->59,0.05059568297461705
59->60,0.1311637717798064
60->61,0.0
61->62,0.132543038000459
62->63,0.0
63->64,0.03475017269886857
64->65,0.0
65->66,0.09794236285250282
66->67,0.0
67->68,0.06881314495485108
68->69,0.0
69->70,0.08078417126259925
70->71,0.04734667987788577
71->72,0.04734667987788577
72->73,0.07512175164287155
73->74,0.0
74->75,0.0
75->76,0.03233829114831982
76->77,0.0
77->78,0.04105877938688905
78->79,0.1521629704972431
79->80,0.06117331537803186
80->81,0.0
81->82,0.0
82->83,0.04734667987788577
83->84,0.0
84->85,0.0
85->86,0.032864970567577
86->87,0.06117331537803186
87->88,0.18166110668947288
88->89,0.05059568297461705
89->90,0.03475017269886857
90->91,0.07389464807379723
91->92,0.0
92->93,0.0
93->94,0.2636557424251029
94->95,0.03406297225598251
95->96,0.11037345578147711
96->97,0.0
97->98,0.07102001981682865
98->99,0.0
99->100,0.0
100->101,0.035510009908414325
