,All
51->52,0.12410074219462974
52->53,0.07124654990791328
53->54,0.16097699923226969
54->55,0.057611675750961766
55->56,0.0
56->57,0.15732762212138388
57->58,0.0
58->59,0.10777262520150596
59->60,0.30888042697803525
60->61,0.10609486235760666
61->62,0.06112823736615667
62->63,0.06575774333731281
63->64,0.027405999387261345
64->65,0.27440965130531236
65->66,0.0
66->67,0.1018379173398521
67->68,0.373929080328146
68->69,0.0586752589003963
69->70,0.22241430771913104
70->71,0.0
71->72,0.133910795806876
72->73,0.12705796594112695
73->74,0.21346151420494522
74->75,0.057611675750961766
75->76,0.030876734103266044
76->77,0.06049216670481951
77->78,0.09605510214377079
78->79,0.029443296796549324
79->80,0.12336941908827458
80->81,0.0
81->82,0.18007310402693805
82->83,0.23841240790328055
83->84,0.09288293825658653
84->85,0.23468528051090545
85->86,0.392361410566323
86->87,0.25711195493669414
87->88,0.05892038369362786
88->89,0.13615668597412134
89->90,0.1220945157521637
90->91,0.0
91->92,0.03280080159742042
92->93,0.058546955317082386
93->94,0.049519645856626174
94->95,0.029040316201763082
95->96,0.24466610886247478
96->97,0.06319299903936948
97->98,0.09596341970101324
98->99,0.06356642741591496
99->100,0.15790169747813035
100->101,0.06551223040748114
