,All
51->52,0.03835174395005146
52->53,0.05975986546519749
53->54,0.20820497365202123
54->55,0.031450809460012545
55->56,0.13821547351623245
56->57,0.23446877301172775
57->58,0.03208792116439359
58->59,0.17726870540077985
59->60,0.2772632850746709
60->61,0.19070249907555079
61->62,0.22140345710423862
62->63,0.1179986231888104
63->64,0.0
64->65,0.36523938367823416
65->66,0.040209203573580043
66->67,0.10015109468195951
67->68,0.4230653049913424
68->69,0.10667734528837511
69->70,0.10424607326647903
70->71,0.0
71->72,0.029880067491864778
72->73,0.09532895558057591
73->74,0.26780655362966815
74->75,0.06348617338980064
75->76,0.029880067491864778
76->77,0.13572457951800038
77->78,0.0981508143679537
78->79,0.13361555219038515
79->80,0.13165207265374038
80->81,0.028319485279043387
81->82,0.027405999387261345
82->83,0.24725556280844904
83->84,0.23831788509950544
84->85,0.3650654436192951
85->86,0.33332551619805556
86->87,0.3374058287570525
87->88,0.057707204026980694
88->89,0.29756811790097165
89->90,0.09907758100132966
90->91,0.08717629412631726
91->92,0.12520212734074956
92->93,0.0
93->94,0.1711079509642221
94->95,0.10791495192485262
95->96,0.3029674263954747
96->97,0.12564552435694484
97->98,0.1690305501008135
98->99,0.11781847673564352
99->100,0.09041247734838219
100->101,0.3528107316337005
