,All
51->52,0.06822892254366333
52->53,0.0
53->54,0.029657160779735355
54->55,0.0
55->56,0.0
56->57,0.08904728133189753
57->58,0.029543378327639654
58->59,0.0
59->60,0.20430938070772955
60->61,0.028354180648900766
61->62,0.08525520618276533
62->63,0.013882457939690169
63->64,0.0
64->65,0.15448587778525216
65->66,0.0
66->67,0.0
67->68,0.05207675483897259
68->69,0.0
69->70,0.0
70->71,0.0
71->72,0.08429386671271352
72->73,0.0
73->74,0.0
74->75,0.0
75->76,0.06582762918475554
76->77,0.08582655712053933
77->78,0.06538048605497115
78->79,0.030232435630524693
79->80,0.030503532109973627
80->81,0.07215815210208543
81->82,0.058849504064869766
82->83,0.06499872431975445
83->84,0.0
84->85,0.045762656564257785
85->86,0.15611404349608746
86->87,0.0
87->88,0.030355773621352913
88->89,0.01466927280090677
89->90,0.0
90->91,0.058082189438464465
91->92,0.19065378440212924
92->93,0.014774023995642552
93->94,0.047644229499636474
94->95,0.0
95->96,0.06324362610985378
96->97,0.0
97->98,0.037750306236713375
98->99,0.014288467392569169
99->100,0.036985008551018536
100->101,0.0798243870501477
