,All
51->52,0.12
52->53,0.08
53->54,0.08
54->55,0.04
55->56,0.0
56->57,0.08
57->58,0.0
58->59,0.12
59->60,0.24
60->61,0.12
61->62,0.08
62->63,0.08
63->64,0.04
64->65,0.16
65->66,0.0
66->67,0.12
67->68,0.36
68->69,0.08
69->70,0.12
70->71,0.0
71->72,0.16
72->73,0.16
73->74,0.2
74->75,0.04
75->76,0.04
76->77,0.08
77->78,0.08
78->79,0.04
79->80,0.12
80->81,0.0
81->82,0.12
82->83,0.24
83->84,0.08
84->85,0.24
85->86,0.32
86->87,0.28
87->88,0.08
88->89,0.16
89->90,0.12
90->91,0.0
91->92,0.04
92->93,0.08
93->94,0.04
94->95,0.04
95->96,0.28
96->97,0.08
97->98,0.08
98->99,0.08
99->100,0.08
100->101,0.08
