,All
51->52,0.0
52->53,0.04
53->54,0.02
54->55,0.0
55->56,0.0
56->57,0.08
57->58,0.0
58->59,0.04
59->60,0.1
60->61,0.06
61->62,0.08
62->63,0.02
63->64,0.06
64->65,0.0
65->66,0.04
66->67,0.0
67->68,0.06
68->69,0.02
69->70,0.06
70->71,0.04
71->72,0.04
72->73,0.04
73->74,0.02
74->75,0.02
75->76,0.06
76->77,0.02
77->78,0.06
78->79,0.1
79->80,0.02
80->81,0.02
81->82,0.0
82->83,0.1
83->84,0.04
84->85,0.02
85->86,0.04
86->87,0.1
87->88,0.1
88->89,0.06
89->90,0.06
90->91,0.06
91->92,0.06
92->93,0.0
93->94,0.08
94->95,0.02
95->96,0.08
96->97,0.06
97->98,0.1
98->99,0.04
99->100,0.06
100->101,0.06
