,All
51->52,0.024
52->53,0.007194244604316547
53->54,0.01939115929941618
54->55,0.01951219512195122
55->56,0.04113924050632911
56->57,0.02755404832556168
57->58,0.0022632770145797148
58->59,0.043041606886657105
59->60,0.03143418467583497
60->61,0.027415580073553995
61->62,0.05053191489361702
62->63,0.015034695451040863
63->64,0.027426160337552744
64->65,0.03002309468822171
65->66,0.04642166344294004
66->67,0.013961605584642234
67->68,0.03389830508474576
68->69,0.019801980198019802
69->70,0.049586776859504134
70->71,0.019455252918287938
71->72,0.025540275049115914
72->73,0.01834862385321101
73->74,0.0266798418972332
74->75,0.03289473684210526
75->76,0.021532615579480684
76->77,0.038159371492704826
77->78,0.04275534441805225
78->79,0.059961315280464215
79->80,0.019715224534501644
80->81,0.06851851851851852
81->82,0.022298456260720412
82->83,0.0830860534124629
83->84,0.06204379562043796
84->85,0.023089983022071308
85->86,0.04926108374384237
86->87,0.054935622317596564
87->88,0.020994475138121547
88->89,0.09289617486338798
89->90,0.041916167664670656
90->91,0.038288288288288286
91->92,0.01464986815118664
92->93,0.040145985401459854
93->94,0.039938556067588324
94->95,0.05105105105105105
95->96,0.08940397350993377
96->97,0.05357142857142857
97->98,0.043010752688172046
98->99,0.0532994923857868
99->100,0.03346456692913386
100->101,0.09826589595375723
