,All
51->52,0.0
52->53,0.12987501165334073
53->54,0.0
54->55,0.0
55->56,0.20483424751859083
56->57,0.34762939155472816
57->58,0.0
58->59,0.1635413866202963
59->60,0.20483424751859083
60->61,0.1427951440361373
61->62,0.0
62->63,0.0
63->64,0.0
64->65,0.5637884576902256
65->66,0.1635413866202963
66->67,0.0
67->68,0.7065836017263629
68->69,0.0
69->70,0.0
70->71,0.0
71->72,0.0
72->73,0.0
73->74,0.5637884576902256
74->75,0.0
75->76,0.0
76->77,0.0
77->78,0.3589542101716347
78->79,0.0
79->80,0.12987501165334073
80->81,0.0
81->82,0.1635413866202963
82->83,0.1427951440361373
83->84,0.12987501165334073
84->85,0.34762939155472816
85->86,0.5111707781750244
86->87,0.727329844310522
87->88,0.0
88->89,0.12987501165334073
89->90,0.1427951440361373
90->91,0.0
91->92,0.0
92->93,0.3589542101716347
93->94,0.0
94->95,0.0
95->96,0.4888292218249754
96->97,0.0
97->98,0.33470925917193156
98->99,0.1427951440361373
99->100,0.20483424751859083
100->101,0.727329844310522
