,All
51->52,0.17016102870075597
52->53,0.09215532347955749
53->54,0.13219333519486048
54->55,0.07110646068740739
55->56,0.06520326171589681
56->57,0.22434865867441797
57->58,0.13219333519486048
58->59,0.31547441873892135
59->60,0.4912788723928072
60->61,0.30047047179185177
61->62,0.4024048595995005
62->63,0.0
63->64,0.0
64->65,0.41086463623858716
65->66,0.0
66->67,0.067500463640696
67->68,0.6943755269760644
68->69,0.07366303835498346
69->70,0.4313511256725573
70->71,0.0
71->72,0.31547441873892135
72->73,0.07569138853182752
73->74,0.32155469814338405
74->75,0.0
75->76,0.0
76->77,0.0780057052211985
77->78,0.1996937988355565
78->79,0.08381709190192062
79->80,0.13219333519486048
80->81,0.08381709190192062
81->82,0.23165732683700074
82->83,0.08381709190192062
83->84,0.3638506620318613
84->85,0.23165732683700074
85->86,0.1996937988355565
86->87,0.23165732683700074
87->88,0.07366303835498346
88->89,0.23773760624146342
89->90,0.25456462466442037
90->91,0.06957298216439682
91->92,0.067500463640696
92->93,0.1377606462479789
93->94,0.13886630007088027
94->95,0.0
95->96,0.16182279712311912
96->97,0.09215532347955749
97->98,0.28121368881267794
98->99,0.14261832909132469
99->100,0.10554427104660292
100->101,0.09215532347955749
