,All
51->52,0.15407727450920353
52->53,0.29686058855289754
53->54,0.10554427104660292
54->55,0.07366303835498346
55->56,0.16581836183454093
56->57,0.17074753276249974
57->58,0.0
58->59,0.14392322096226634
59->60,0.3832437751033579
60->61,0.2895519203903148
61->62,0.6071555793264432
62->63,0.3979013415649429
63->64,0.0
64->65,0.5486252824865661
65->66,0.1573585851954543
66->67,0.0
67->68,0.685329246275234
68->69,0.06520326171589681
69->70,0.13270372535659283
70->71,0.0
71->72,0.0
72->73,0.0
73->74,0.067500463640696
74->75,0.0
75->76,0.08381709190192062
76->77,0.26736706816972206
77->78,0.1596557871202535
78->79,0.0
79->80,0.32155469814338405
80->81,0.0
81->82,0.09215532347955749
82->83,0.14392322096226634
83->84,0.0780057052211985
84->85,0.7164891092625228
85->86,0.37052362690788104
86->87,0.685329246275234
87->88,0.0
88->89,0.17074753276249974
89->90,0.1432089669370953
90->91,0.06520326171589681
91->92,0.0
92->93,0.13219333519486048
93->94,0.4720785381450396
94->95,0.06520326171589681
95->96,0.17920730940158638
96->97,0.07366303835498346
97->98,0.08381709190192062
98->99,0.210199040416059
99->100,0.31547441873892135
100->101,0.4569068134583414
